N	SelectSort	BubbleSort	ShakerSort	InsertSort	ShellSort
1	0	0	0	0	0
2	1	1	4	3	4
3	9	6	6	8	7
4	12	12	14	16	12
5	19	25	30	19	18
6	24	30	38	27	26
7	30	54	45	36	32
8	46	61	34	57	42
9	60	99	78	44	45
10	72	123	150	70	55
11	76	172	107	75	64
12	90	147	160	86	69
13	105	192	179	127	76
14	124	244	166	145	85
15	138	234	240	126	97
16	159	348	353	193	107
17	178	310	397	158	119
18	198	378	253	178	126
19	213	399	393	259	136
20	232	538	459	197	155
21	261	549	486	235	161
22	282	582	471	284	175
23	313	655	514	296	184
24	339	675	697	425	200
25	363	822	590	356	207
26	397	808	698	470	217
27	417	933	836	350	227
28	459	1032	865	487	243
29	484	1105	861	531	252
30	510	1230	941	570	265
31	543	1131	1047	520	279
32	577	1204	1206	715	287
33	615	1182	1117	639	298
34	654	1446	1226	722	315
35	679	1429	1158	647	318
36	729	1623	1472	837	327
37	768	1539	1294	709	335
38	805	1588	1331	846	349
39	852	1890	1470	679	357
40	888	1833	1954	809	366
41	934	2002	1752	982	394
42	975	2016	1820	951	395
43	1017	2487	2019	1121	416
44	1060	1993	2404	1048	430
45	1119	2685	2312	1100	450
46	1167	2511	2017	1233	460
47	1213	2641	2183	1410	470
48	1263	2913	2678	1068	478
49	1305	2868	2412	1228	503
50	1360	3298	2430	1465	524
51	1410	3036	2791	1377	538
52	1470	3288	2638	1500	555
53	1516	3514	2800	1497	566
54	1581	3720	3181	1556	570
55	1641	3864	3284	1705	587
56	1696	3871	3523	1645	602
57	1749	4065	3915	1962	615
58	1809	4332	4077	1546	639
59	1873	4150	3831	1877	648
60	1941	4416	4161	1872	657
61	2001	4143	3930	2049	671
62	2062	4567	3906	1887	690
63	2130	5256	4178	2183	706
64	2196	5097	4145	1919	714
65	2251	5452	4369	2280	733
66	2337	5829	5311	2317	759
67	2400	5313	4903	2373	766
68	2473	4876	4701	2734	765
69	2547	5706	5392	2748	791
70	2610	5931	4872	2587	822
71	2686	6487	4831	2508	834
72	2748	6882	5571	2729	851
73	2832	6390	5305	2822	860
74	2911	6823	5431	2550	864
75	2982	7074	6797	3212	883
76	3072	7482	5957	3015	887
77	3151	7768	6361	3596	907
78	3219	8214	6061	3008	937
79	3306	8034	6512	3536	937
